City,Year,Fuel Type,Transmission,Price_PKR,Mileage_km,Engine_cc,Brand,Model,Variant,Car_Age,log_price
Islamabad,1984,Petrol,Manual,900000.0,125000,1300.0,Toyota,Corolla,DX,42,13.710151153416941
Lahore,2019,Petrol,Manual,2825000.0,57000,1300.0,Suzuki,Swift,DLX 1.3 Navigation,7,14.854019276544916
Islamabad,2016,Petrol,Manual,4100000.0,124467,1300.0,Toyota,Corolla,GLi 1.3 VVTi,10,15.226497775576945
Islamabad,2016,Petrol,Manual,3195000.0,251378,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,10,14.97709795878277
Karachi,2015,Petrol,Automatic,2375000.0,52000,1300.0,Suzuki,Swift,DLX Automatic 1.3,11,14.680508416503422
Lahore,2021,Petrol,Manual,2000000.0,38100,1300.0,FAW,V2,VCT-i,5,14.508658238524095
Karachi,2021,Petrol,Automatic,4195000.0,21000,1300.0,Toyota,Yaris,Sedan GLI CVT 1.3,5,15.249404136262438
Islamabad,2016,Petrol,Automatic,3040000.0,171000,1300.0,Honda,City,5th (GM2) Generation Aspire Prosmatec 1.3 i-VTEC,10,14.92736840232972
Karachi,2011,Petrol,Manual,1675000.0,148000,1300.0,Suzuki,Swift,DLX 1.3,15,14.331324320256051
Karachi,2018,Petrol,Automatic,4350000.0,68000,1300.0,Toyota,Corolla,GLi Automatic 1.3 VVTi,8,15.285686632949897
Karachi,2007,Petrol,Manual,1950000.0,81000,1300.0,Honda,City,i-DSI,19,14.48334044336031
Karachi,2012,Petrol,Automatic,2650000.0,104000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC Prosmatec,14,14.790070575320824
Lahore,2010,Petrol,Automatic,2130000.0,198000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC Prosmatec,16,14.571633007169066
Lahore,2020,Petrol,Manual,1390000.0,135000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,6,14.144815024531075
Islamabad,2004,Petrol,Manual,1730000.0,282000,1300.0,Honda,City,i-DSI,22,14.363632544508476
Lahore,2005,Petrol,Manual,1330000.0,107000,1300.0,Suzuki,Baleno,JXR,21,14.100690252077353
Lahore,2010,Petrol,Manual,2290000.0,172000,1300.0,Toyota,Corolla,XLi VVTi,16,14.64406281221155
Lahore,2016,Petrol,Manual,3600000.0,99300,1300.0,Toyota,Corolla,XLi VVTi,10,15.096444681204078
Islamabad,2016,Petrol,Automatic,3490000.0,90000,1300.0,Honda,City,5th (GM2) Generation Aspire Prosmatec 1.3 i-VTEC,10,15.06541258071152
Islamabad,2015,Petrol,Automatic,3345000.0000000005,90000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC Prosmatec,11,15.022977550498084
Islamabad,2005,Petrol,Manual,1870000.0,185000,1300.0,Toyota,Corolla,9th (E120) Generation XLi,21,14.441449523589984
Karachi,2015,Petrol,Manual,2150000.0,87800,1300.0,Suzuki,Swift,DLX 1.3,11,14.580978865220017
Islamabad,2020,Petrol,Automatic,3970000.0000000005,117000,1300.0,Toyota,Yaris,Sedan GLI CVT 1.3,6,15.19427690455251
