Brand,Model,group_median_price
Audi,A3,6000000.0
Changan,Alsvin,3800000.0
Chevrolet,Optra,1080000.0
DFSK,Rustom,1200000.0
Daewoo,Cielo,482500.0
Daihatsu,Boon,3400000.0
Daihatsu,Charade,630000.0
Daihatsu,Charmant,450000.0
Daihatsu,Sirion,1850000.0
Daihatsu,Terios,1700000.0
Daihatsu,YRV,1280000.0
Datsun,120,550000.0
FAW,Sirius,2300000.0
FAW,V2,1550000.0
FAW,X-PV,950000.0
Honda,Accord,450000.0
Honda,City,2800000.0
Honda,Civic,2550000.0
Honda,Fit,2950000.0
Honda,Insight,2950000.0
Honda,Integra,1200000.0
Hyundai,Excel,540000.0
Hyundai,Tucson,280000.0
JW,Forland,3660000.0000000005
KIA,Classic,577500.0
KIA,Pride,515000.00000000006
Lifan,520,750000.0
Mazda,323,850000.0
Mazda,Demio,1500000.0
Mazda,RX8,4050000.0
Mitsubishi,Lancer,1450000.0
Nissan,AD,1500000.0
Nissan,Kicks,6085000.0
Nissan,March,1330000.0
Nissan,Sunny,855000.0
Power,Mini,1450000.0
Proton,Gen,1100000.0
Proton,Saga,2800000.0
SsangYong,Stavic,1500000.0
Suzuki,Baleno,1050000.0
Suzuki,Bolan,990000.0
Suzuki,Ciaz,2800000.0
Suzuki,Cultus,997500.0
Suzuki,Jimny,2375000.0
Suzuki,Khyber,620000.0
Suzuki,Liana,1225000.0
Suzuki,Margalla,570000.0
Suzuki,Potohar,1750000.0
Suzuki,Samurai,1675000.0
Suzuki,Swift,2320000.0
Toyota,86,640000.0
Toyota,Belta,2250000.0
Toyota,Cami,1800000.0
Toyota,Corolla,2900000.0
Toyota,Crown,1250000.0
Toyota,Duet,1150000.0
Toyota,IST,1990000.0
Toyota,Lite,1450000.0
Toyota,Passo,2250000.0
Toyota,Platz,1560000.0
Toyota,Porte,2350000.0
Toyota,Probox,3700000.0
Toyota,Sprinter,639500.0
Toyota,Starlet,650000.0
Toyota,Vitz,2350000.0
Toyota,Yaris,4592500.0
Toyota,iQ,2075000.0
Volkswagen,Beetle,980000.0
